"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:48:07:161","03-17-2022 03:48:32:143","24.982","34.18620689655174","4024.8694333520134","2071.4500000000003"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 03:48:44:316","03-17-2022 03:49:54:953","70.637","32","1423.464872290726","5814.4810000000025"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:50:15:974","03-17-2022 03:50:35:442","19.468","34.74782608695653","5164.849403328539","1568.5749999999998"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 03:50:50:341","03-17-2022 03:52:19:089","88.748","34.197802197802176","2695.415131743814","6713.556999999997"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 03:52:32:284","03-17-2022 03:54:44:014","131.73","32","1815.9318462916572","10220.123"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 03:55:10:449","03-17-2022 03:56:01:512","51.063","34.34181818181817","4684.658208722559","4669.517000000001"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:56:17:223","03-17-2022 03:56:41:974","24.751","34.07500000000001","674.6467216678114","1589.2219999999998"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 03:56:53:472","03-17-2022 03:57:36:641","43.169","32","386.8095394380227","3309.609999999999"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 03:57:55:327","03-17-2022 03:58:17:083","21.756","34.09600000000001","767.5207302813017","1505.623"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 03:58:32:147","03-17-2022 03:58:55:304","23.157","34.23333333333335","4342.068842423458","1952.8829999999998"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 03:59:07:546","03-17-2022 04:00:21:415","73.869","32","1361.1838279115732","5913.408000000001"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:00:42:736","03-17-2022 04:01:04:478","21.742","34.52800000000001","4624.656801766167","1761.092"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:01:19:223","03-17-2022 04:02:47:281","88.058","34.41648351648349","2716.5357163687568","6794.338999999999"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 04:03:00:649","03-17-2022 04:05:16:363","135.714","32","1762.6236210855182","10698.772999999997"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:05:43:094","03-17-2022 04:06:26:691","43.597","34.38510638297872","5486.907404454435","3257.378"
"testDecisionTree","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:06:42:214","03-17-2022 04:07:04:532","22.318","34.10800000000001","748.1934316695044","1489.4209999999998"
"luigiEEMT_frequency_cores","chameleon","html","2.087272626E9","20000","40.0","03-17-2022 04:07:16:340","03-17-2022 04:07:59:564","43.224","32","386.3173470294281","3202.3540000000003"
"testDecisionTreeEnergy","chameleon","html","2.087272626E9","20000","101.91760869140624","40.0","03-17-2022 04:08:18:117","03-17-2022 04:08:39:755","21.638","34.10000000000001","771.7063040946483","1439.8099999999997"
"testDecisionTree","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:08:54:175","03-17-2022 04:09:19:675","25.5","34.24642857142858","3943.1093405490196","1982.5080000000003"
"luigiEEMT_frequency_cores","chameleon","image","1.2568661023E10","5000","40.0","03-17-2022 04:09:31:413","03-17-2022 04:10:39:683","68.27","32","1472.818048689029","5452.320999999999"
"testDecisionTreeEnergy","chameleon","image","1.2568661023E10","5000","2454.8166060546873","40.0","03-17-2022 04:11:01:108","03-17-2022 04:11:24:638","23.53","34.59629629629631","4273.237916872078","1792.739"
"testDecisionTree","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:11:39:228","03-17-2022 04:13:12:052","92.824","34.33645833333329","2577.0566029475135","7025.644000000001"
"luigiEEMT_frequency_cores","chameleon","video","2.9901587764E10","128","40.0","03-17-2022 04:13:25:452","03-17-2022 04:15:44:537","139.085","32","1719.9029522378403","10745.734"
"testDecisionTreeEnergy","chameleon","video","2.9901587764E10","128","228131.01016235352","40.0","03-17-2022 04:16:11:587","03-17-2022 04:17:00:110","48.523","34.38846153846152","4929.882779547844","3716.7919999999995"
